loss,val_loss,learning_rate
0.23570024967193604,0.050745151937007904,0.004238734021782875
0.028509706258773804,0.0132908895611763,0.004238734021782875
0.01178932748734951,0.007716809865087271,0.004238734021782875
0.0073495348915457726,0.004115685820579529,0.004238734021782875
0.007191692944616079,0.005469255615025759,0.004238734021782875
0.007463040295988321,0.005918072536587715,0.004238734021782875
0.0053183711133897305,0.002477854024618864,0.004238734021782875
0.004968168213963509,0.00879715196788311,0.004238734021782875
0.004185009282082319,0.0022596900817006826,0.004238734021782875
0.004854906350374222,0.022722911089658737,0.004238734021782875
0.007134656421840191,0.0068609085865318775,0.004238734021782875
0.0051093921065330505,0.007874913513660431,0.004238734021782875
0.003832879476249218,0.0022180192172527313,0.004238734021782875
0.003514261916279793,0.0021061901934444904,0.004238734021782875
0.002958628349006176,0.002316039986908436,0.004238734021782875
0.004536617547273636,0.00268718134611845,0.004238734021782875
0.003197740064933896,0.0016078935004770756,0.004238734021782875
0.0032274809200316668,0.002619445323944092,0.004238734021782875
0.0027563341427594423,0.0013466995442286134,0.004238734021782875
0.0025071834679692984,0.0035794491413980722,0.004238734021782875
0.002765258774161339,0.0016578283393755555,0.004238734021782875
0.0027121305465698242,0.014882715418934822,0.004238734021782875
0.00798661820590496,0.0036438258830457926,0.004238734021782875
0.003823445411399007,0.0021193712018430233,0.004238734021782875
0.002936108037829399,0.0017463368130847812,0.0021193670108914375
0.002510142745450139,0.0013459667097777128,0.0021193670108914375
0.0023611101787537336,0.0012668523704633117,0.0021193670108914375
0.0025793088134378195,0.0012522914912551641,0.0021193670108914375
0.002441165968775749,0.0013426170917227864,0.0021193670108914375
0.0020146097522228956,0.0011969846673309803,0.0010596835054457188
0.0019032859709113836,0.0012958906590938568,0.0010596835054457188
0.001980719156563282,0.0012052204692736268,0.0010596835054457188
0.0019332491792738438,0.0012114346027374268,0.0010596835054457188
0.001712625497020781,0.0011078709503635764,0.0010596835054457188
0.0017306163208559155,0.0013839678140357137,0.0010596835054457188
0.0017620846629142761,0.0009834603406488895,0.0005298417527228594
0.0015864496817812324,0.0012032921658828855,0.0005298417527228594
0.0016008582897484303,0.0008901776163838804,0.0005298417527228594
